#BLTrackFile example Gaussian beam in a uniform focusing channel
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-0.576361 -0.27829 0 -0.0863414 0.210326 199.745 0 13 1 1 0 1
-5.98941 -0.668344 0 0.166352 -0.065163 200.232 0 13 2 1 0 1
0.929191 1.64159 0 0.577481 0.0329072 198.523 0 13 3 1 0 1
-4.05865 3.2777 0 0.12304 0.0124838 199.787 0 13 4 1 0 1
2.1271 -0.780693 0 -0.733115 0.148393 201.745 0 13 5 1 0 1
-0.962519 0.620534 0 0.186204 0.232085 197.773 0 13 6 1 0 1
2.273 -6.54986 0 -0.750319 -0.180398 198.167 0 13 7 1 0 1
3.50405 -3.04769 0 0.328804 0.25166 197.995 0 13 8 1 0 1
-0.344975 0.28605 0 -0.147888 0.247159 201.277 0 13 9 1 0 1
1.39954 1.19623 0 0.322642 -0.186746 198.565 0 13 10 1 0 1
-1.87987 -0.625289 0 0.247616 0.69498 198.36 0 13 11 1 0 1
-4.3955 3.55462 0 0.387447 0.152975 201.671 0 13 12 1 0 1
5.70538 -3.5574 0 -0.0474617 -0.161144 201.906 0 13 13 1 0 1
-5.77471 0.633093 0 0.016887 -0.0953628 201.447 0 13 14 1 0 1
2.32312 1.54992 0 1.15416 -0.181791 198.873 0 13 15 1 0 1
-3.32632 -1.41708 0 0.479703 -0.0212361 201.498 0 13 16 1 0 1
-2.89385 -4.60322 0 -0.145995 -0.322899 198.864 0 13 17 1 0 1
1.66304 -0.046167 0 0.597746 0.0785406 200.335 0 13 18 1 0 1
4.33896 0.684233 0 0.450711 -0.306022 201.806 0 13 19 1 0 1
1.52419 -0.0747665 0 0.611264 0.583822 199.28 0 13 20 1 0 1
6.37224 -1.29067 0 0.0574725 -0.338023 199.698 0 13 21 1 0 1
5.69328 1.72221 0 0.411086 -0.717823 201.42 0 13 22 1 0 1
2.22341 -1.56846 0 -0.279706 -0.000705091 203.45 0 13 23 1 0 1
-4.2204 3.40446 0 -0.213123 -0.133358 199.271 0 13 24 1 0 1
0.391105 0.549864 0 -0.626135 -0.366095 201.769 0 13 25 1 0 1
0.0127233 0.702101 0 1.12682 0.40436 197.39 0 13 26 1 0 1
-0.488557 4.3643 0 0.163173 -0.509268 201.981 0 13 27 1 0 1
2.36542 1.78096 0 0.762768 0.0155398 198.955 0 13 28 1 0 1
-4.99272 -0.479242 0 0.0971139 0.602374 198.777 0 13 29 1 0 1
1.28157 -0.988656 0 -0.790959 0.0789893 201.646 0 13 30 1 0 1
5.79241 -2.79311 0 -0.0221882 0.138065 201.034 0 13 31 1 0 1
1.96663 2.83346 0 -0.352594 0.0265533 201.399 0 13 32 1 0 1
5.09629 0.71629 0 0.305377 0.647408 200.486 0 13 33 1 0 1
-1.18386 3.70692 0 0.0562743 0.0357987 201.039 0 13 34 1 0 1
4.78293 -4.31642 0 -0.257018 0.0900332 200.459 0 13 35 1 0 1
-2.43204 1.51892 0 0.437799 -0.300044 201.036 0 13 36 1 0 1
-0.78442 1.13238 0 -0.735981 -0.0134632 198.508 0 13 37 1 0 1
2.09178 -1.44384 0 0.246524 0.121325 202.03 0 13 38 1 0 1
-2.85067 0.00688938 0 0.186897 0.667139 196.274 0 13 39 1 0 1
2.78114 -0.250494 0 -0.153109 0.570425 199.982 0 13 40 1 0 1
8.96377 0.87628 0 -0.219547 -0.146237 198.618 0 13 41 1 0 1
0.249933 0.506229 0 -0.144114 -0.644151 204.004 0 13 42 1 0 1
-0.667988 -2.51778 0 0.899025 0.0905374 206.328 0 13 43 1 0 1
-3.47892 -1.36627 0 -0.752828 0.142728 201.385 0 13 44 1 0 1
5.16147 -4.00563 0 -0.1301 -0.132127 202.48 0 13 45 1 0 1
1.86265 -0.0876288 0 -0.999263 0.428364 204.25 0 13 46 1 0 1
2.24675 -3.10051 0 0.154724 -0.253091 200.094 0 13 47 1 0 1
2.01279 -1.19552 0 0.287835 -0.342894 198.444 0 13 48 1 0 1
-4.6279 -5.7807 0 0.323151 -0.100433 200.899 0 13 49 1 0 1
6.08805 2.50321 0 0.0353845 -0.11881 198.511 0 13 50 1 0 1
-2.69757 2.48555 0 0.789094 0.151088 206.659 0 13 51 1 0 1
-0.129365 0.768979 0 0.317359 -0.0681074 204.632 0 13 52 1 0 1
6.02642 -0.999616 0 -0.705216 0.129507 201.565 0 13 53 1 0 1
-5.39379 -4.76592 0 -1.1266 -0.0213111 199.79 0 13 54 1 0 1
1.38088 -3.06059 0 -0.386102 -0.608907 200.657 0 13 55 1 0 1
1.48022 1.97699 0 0.503194 -0.0579865 202.698 0 13 56 1 0 1
-0.545468 -1.30145 0 -0.323262 -0.171644 195.668 0 13 57 1 0 1
0.625304 -0.905665 0 0.125407 -0.214949 200.743 0 13 58 1 0 1
6.86748 -1.26908 0 0.0191142 -0.17731 199.86 0 13 59 1 0 1
-5.05906 0.152956 0 -0.063221 0.558623 201.886 0 13 60 1 0 1
4.13612 1.6748 0 -0.357585 -0.34288 200.623 0 13 61 1 0 1
1.67495 4.99845 0 -0.375913 0.166973 196.194 0 13 62 1 0 1
2.21144 0.00344054 0 -0.204501 0.140275 200.781 0 13 63 1 0 1
-8.15661 1.93156 0 -0.590179 0.397788 203.805 0 13 64 1 0 1
7.21267 1.92371 0 -1.04433 -0.584153 203.224 0 13 65 1 0 1
1.0134 5.02475 0 -0.559791 0.189537 196.217 0 13 66 1 0 1
1.17387 0.278239 0 -0.37059 -0.141475 202.747 0 13 67 1 0 1
-5.69315 4.53547 0 0.159037 -0.24861 200.421 0 13 68 1 0 1
0.808007 1.61973 0 -0.341596 0.0288403 198.112 0 13 69 1 0 1
7.04806 -0.417767 0 0.392702 -0.189504 198.431 0 13 70 1 0 1
4.92376 1.1486 0 -0.0736906 -0.0556781 201.233 0 13 71 1 0 1
-0.463917 -0.458027 0 0.384494 0.250549 201.344 0 13 72 1 0 1
-0.466439 -2.3503 0 -0.425655 -0.220033 198.03 0 13 73 1 0 1
3.46319 3.92525 0 -0.0233067 0.683961 200.047 0 13 74 1 0 1
-6.19207 -0.188371 0 -0.190248 -0.445413 199.498 0 13 75 1 0 1
1.14779 -1.92106 0 -0.233818 -0.231694 203.573 0 13 76 1 0 1
-0.638584 -0.932246 0 -0.412123 0.284342 198.63 0 13 77 1 0 1
1.92739 1.87279 0 0.361938 0.417595 198.898 0 13 78 1 0 1
4.53093 -0.99135 0 -0.399685 0.361776 201.644 0 13 79 1 0 1
0.0083902 1.40415 0 -0.5902 -0.187364 198.151 0 13 80 1 0 1
-2.59254 -5.30258 0 0.123461 0.108417 200.348 0 13 81 1 0 1
-2.33811 1.5286 0 0.514988 -0.180666 198.659 0 13 82 1 0 1
2.78061 -0.831556 0 -0.758561 -0.189445 200.138 0 13 83 1 0 1
0.844506 2.83712 0 0.018336 0.0682034 199.37 0 13 84 1 0 1
-4.84342 1.32037 0 0.358226 0.431988 198.504 0 13 85 1 0 1
0.105672 -0.219027 0 -0.0288432 0.00306362 196.571 0 13 86 1 0 1
3.29994 2.82618 0 0.325559 0.672715 199.361 0 13 87 1 0 1
-0.144573 4.85546 0 0.00491553 -0.521887 200.971 0 13 88 1 0 1
-5.88333 -5.05208 0 -1.30455 -0.418952 202.133 0 13 89 1 0 1
