#BLTrackFile example Gaussian beam in a uniform focusing channel
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
28.9765 -0.56524 0 0.226238 22.1519 176.945 0 13 1 1 0 1
29.1468 1.06037 0 0.497596 22.7728 179.005 0 13 2 1 0 1
31.5791 -4.16516 0 0.083152 22.7832 179.471 0 13 3 1 0 1
31.9953 -4.35972 0 -0.751756 22.1041 177.787 0 13 4 1 0 1
31.2218 1.30244 0 -0.0205648 22.3423 179.168 0 13 5 1 0 1
31.5766 4.29383 0 -0.298692 22.8601 180.714 0 13 6 1 0 1
27.5187 -0.860117 0 -0.332278 22.5565 179.727 0 13 7 1 0 1
30.9937 -2.39228 0 -0.202197 22.578 180.793 0 13 8 1 0 1
26.7682 1.0663 0 0.109365 22.0606 178.731 0 13 9 1 0 1
35.225 -0.803985 0 -0.892046 22.2315 177.137 0 13 10 1 0 1
31.9896 -3.66164 0 -0.0279891 22.8129 179.763 0 13 11 1 0 1
33.7834 0.905609 0 0.634836 22.1823 176.27 0 13 12 1 0 1
32.4618 -1.13175 0 -0.270563 21.8953 176.908 0 13 13 1 0 1
27.8755 -5.07948 0 0.57698 22.111 179.07 0 13 14 1 0 1
35.7734 -4.74986 0 0.259334 21.8562 179.316 0 13 15 1 0 1
27.055 2.44343 0 -0.500653 22.7691 178.839 0 13 16 1 0 1
30.9831 3.98501 0 0.194921 22.7234 179.501 0 13 17 1 0 1
32.191 3.20433 0 -0.70381 22.8148 179.508 0 13 18 1 0 1
22.1045 2.10576 0 -0.282504 21.9246 178.326 0 13 19 1 0 1
34.0781 4.02527 0 -0.584488 22.5545 178.308 0 13 20 1 0 1
31.2995 0.300984 0 0.288161 22.5945 177.376 0 13 21 1 0 1
28.3411 0.0669974 0 0.469577 22.4208 180.314 0 13 22 1 0 1
35.862 -3.44998 0 -0.198319 22.374 178.334 0 13 23 1 0 1
28.808 -2.56734 0 0.619109 22.4863 176.288 0 13 24 1 0 1
26.8518 2.82173 0 0.282895 22.7477 179.183 0 13 25 1 0 1
30.5694 1.4382 0 0.0682725 22.4586 179.097 0 13 26 1 0 1
32.2909 1.90996 0 0.000382312 23.0464 182.167 0 13 27 1 0 1
31.2998 -0.931378 0 -0.192679 22.6468 180.246 0 13 28 1 0 1
28.6537 4.59325 0 0.170411 21.5215 176.671 0 13 29 1 0 1
30.9756 0.596433 0 0.179032 22.4755 179.78 0 13 30 1 0 1
31.1285 6.07513 0 -0.231783 22.4117 177.594 0 13 31 1 0 1
29.6022 -0.156854 0 -0.100285 21.6172 177.814 0 13 32 1 0 1
