#BLTrackFile example Gaussian beam in a uniform focusing channel
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
6.97648 -0.56524 0 0.228004 -0.0842772 178.326 0 13 1 1 0 1
7.14679 1.06037 0 0.501606 0.280653 180.447 0 13 2 1 0 1
9.57908 -4.16516 0 0.0838192 0.232087 180.911 0 13 3 1 0 1
9.99527 -4.35972 0 -0.757543 -0.239069 179.155 0 13 4 1 0 1
9.22178 1.30244 0 -0.020724 -0.173939 180.556 0 13 5 1 0 1
9.57662 4.29383 0 -0.301073 0.152083 182.154 0 13 6 1 0 1
5.51867 -0.860117 0 -0.334885 -0.0289153 181.137 0 13 7 1 0 1
8.99371 -2.39228 0 -0.203767 -0.142275 182.197 0 13 8 1 0 1
4.76821 1.0663 0 0.110195 -0.402425 180.087 0 13 9 1 0 1
13.225 -0.803985 0 -0.899044 -0.028423 178.527 0 13 10 1 0 1
9.98956 -3.66164 0 -0.0282135 0.225014 181.205 0 13 11 1 0 1
11.7834 0.905609 0 0.639843 0.0317854 177.66 0 13 12 1 0 1
10.4618 -1.13175 0 -0.272627 -0.338187 178.258 0 13 13 1 0 1
5.87552 -5.07948 0 0.581361 -0.39452 180.429 0 13 14 1 0 1
13.7734 -4.74986 0 0.261252 -0.682348 180.642 0 13 15 1 0 1
5.05495 2.44343 0 -0.504694 0.297948 180.282 0 13 16 1 0 1
8.98311 3.98501 0 0.196477 0.168004 180.933 0 13 17 1 0 1
10.191 3.20433 0 -0.709471 0.259241 180.952 0 13 18 1 0 1
0.104498 2.10576 0 -0.28463 -0.488126 179.668 0 13 19 1 0 1
12.0781 4.02527 0 -0.589146 0.148806 179.729 0 13 20 1 0 1
9.29947 0.300984 0 0.290489 0.307281 178.809 0 13 21 1 0 1
6.34106 0.0669974 0 0.473193 -0.239974 181.703 0 13 22 1 0 1
13.862 -3.44998 0 -0.199873 -0.0363278 179.732 0 13 23 1 0 1
6.808 -2.56734 0 0.624124 0.336039 177.716 0 13 24 1 0 1
4.85184 2.82173 0 0.285165 0.232731 180.621 0 13 25 1 0 1
8.56943 1.4382 0 0.0688072 -0.0477053 180.499 0 13 26 1 0 1
10.2909 1.90996 0 0.00038536 0.155859 183.619 0 13 27 1 0 1
9.29977 -0.931378 0 -0.194194 -0.0035712 181.663 0 13 28 1 0 1
6.65375 4.59325 0 0.171669 -0.684675 177.976 0 13 29 1 0 1
8.97559 0.596433 0 0.180425 -0.117173 181.179 0 13 30 1 0 1
9.12852 6.07513 0 -0.233621 0.0953544 179.002 0 13 31 1 0 1
7.60221 -0.156854 0 -0.101023 -0.73299 179.122 0 13 32 1 0 1
12.0343 -0.16675 0 -0.530352 0.259649 181.54 0 13 33 1 0 1
13.9642 -0.88344 0 -0.770401 -0.0926294 181.12 0 13 34 1 0 1
12.3672 2.7217 0 -1.21549 -0.393497 181.225 0 13 35 1 0 1
2.03145 2.98664 0 0.0792849 -0.0403933 180.344 0 13 36 1 0 1
11.1885 -0.221203 0 0.0642866 0.418318 181.887 0 13 37 1 0 1
6.82474 -2.8671 0 1.23208 0.246282 179.517 0 13 38 1 0 1
8.52946 0.555555 0 0.312406 0.1698 177.25 0 13 39 1 0 1
1.96196 -2.4079 0 0.272655 -0.273119 177.353 0 13 40 1 0 1
13.0655 3.68269 0 0.335954 -0.253191 180.001 0 13 41 1 0 1
3.43877 3.97356 0 0.350095 -0.244109 182.808 0 13 42 1 0 1
11.9521 -4.92993 0 -0.0799484 0.379424 179.826 0 13 43 1 0 1
5.58869 1.02491 0 0.177983 0.400358 178.163 0 13 44 1 0 1
12.5449 3.63059 0 0.664328 -0.0484054 178.66 0 13 45 1 0 1
12.0743 0.310474 0 0.0516967 0.383524 179.525 0 13 46 1 0 1
-1.1869 -4.63481 0 -0.174788 0.221772 180.57 0 13 47 1 0 1
5.55517 2.08156 0 -0.00437699 0.0215979 182.388 0 13 48 1 0 1
7.75486 3.7287 0 0.465003 0.431748 178.79 0 13 49 1 0 1
11.5196 -2.70837 0 -0.853209 -0.535611 181.921 0 13 50 1 0 1
3.07226 -0.480535 0 -0.00570984 -0.00767566 178.935 0 13 51 1 0 1
8.93465 0.110671 0 0.814127 0.144798 181.799 0 13 52 1 0 1
7.20821 -1.38849 0 -0.557526 0.285097 177.036 0 13 53 1 0 1
5.60862 1.98184 0 0.456984 0.00207345 181.449 0 13 54 1 0 1
8.66392 -3.90986 0 -0.535405 -0.174108 181.66 0 13 55 1 0 1
5.73782 -1.9274 0 -0.405583 -0.41309 179.788 0 13 56 1 0 1
3.28157 -5.90024 0 0.162814 0.087933 178.845 0 13 57 1 0 1
0.231408 -0.688771 0 0.323263 -0.596837 178.424 0 13 58 1 0 1
9.1641 1.94996 0 -0.207737 0.203185 181.199 0 13 59 1 0 1
9.3065 1.64959 0 0.587653 0.119289 176.248 0 13 60 1 0 1
11.5862 -0.742245 0 0.600671 -0.129226 183.492 0 13 61 1 0 1
0.96747 6.05929 0 0.21244 -0.252179 181.241 0 13 62 1 0 1
15.5455 1.40299 0 -0.0536048 0.241488 178.369 0 13 63 1 0 1
7.64362 2.06346 0 0.131503 -0.009306 179.648 0 13 64 1 0 1
3.9357 2.22918 0 -0.160161 0.0272363 178.464 0 13 65 1 0 1
4.63358 2.84974 0 1.16886 0.167631 175.329 0 13 66 1 0 1
10.4859 4.21024 0 0.216166 0.115417 179.878 0 13 67 1 0 1
10.0898 2.58313 0 -0.868741 0.087102 178.734 0 13 68 1 0 1
13.3023 -3.506 0 0.816566 -0.180432 180.522 0 13 69 1 0 1
8.73386 -2.43553 0 -0.181175 0.578462 181.866 0 13 70 1 0 1
3.22309 4.25782 0 -0.616271 0.271932 183.277 0 13 71 1 0 1
11.2406 0.651664 0 -0.389495 -0.578849 178.652 0 13 72 1 0 1
7.76436 -1.81888 0 0.236318 -0.0336943 180.825 0 13 73 1 0 1
9.50676 0.522454 0 0.289364 -0.0881525 181.42 0 13 74 1 0 1
8.19744 -1.56482 0 -0.371335 -9.39775e-05 179.802 0 13 75 1 0 1
8.62798 0.439673 0 -0.00022034 -0.0358017 177.735 0 13 76 1 0 1
9.68541 1.08661 0 0.476276 -0.0513243 180.803 0 13 77 1 0 1
4.1372 0.148926 0 -0.859571 -0.25309 181.33 0 13 78 1 0 1
3.66364 -2.59881 0 -1.17829 0.424449 179.308 0 13 79 1 0 1
2.52233 1.30225 0 -0.344117 0.13439 180.318 0 13 80 1 0 1
13.9355 -0.0524498 0 0.323186 0.163765 182.978 0 13 81 1 0 1
11.8852 -2.70709 0 0.464053 -0.0403699 181.313 0 13 82 1 0 1
6.81423 1.49085 0 0.479965 0.244707 179.617 0 13 83 1 0 1
18.1855 -0.538575 0 0.572486 0.0250948 184.67 0 13 84 1 0 1
6.62709 2.45113 0 0.388771 0.00175719 177.899 0 13 85 1 0 1
8.75015 2.8242 0 0.16176 0.211431 180.044 0 13 86 1 0 1
11.4143 0.515109 0 0.242338 0.0148703 179.562 0 13 87 1 0 1
10.7446 -1.57171 0 -0.467447 0.00132303 177.364 0 13 88 1 0 1
6.25647 -1.70721 0 -0.909086 0.154345 181.017 0 13 89 1 0 1
7.78195 -3.54206 0 -0.10499 0.496054 180.928 0 13 90 1 0 1
12.3738 -0.463111 0 -0.400144 -0.495101 181.404 0 13 91 1 0 1
11.7406 -0.130309 0 -0.838778 0.167192 176.826 0 13 92 1 0 1
